score_phrase,title,url,score,genre,release_year,release_month,release_day
Amazing,LittleBigPlanet PS Vita,/games/littlebigplanet-vita/vita-98907,9,Platformer,2012,9,12
Amazing,LittleBigPlanet PS Vita -- Marvel Super Hero Edition,/games/littlebigplanet-ps-vita-marvel-super-hero-edition/vita-20027059,9,Platformer,2012,9,12
Great,Splice: Tree of Life,/games/splice/ipad-141070,8.5,Puzzle,2012,9,12
Great,NHL 13,/games/nhl-13/xbox-360-128182,8.5,Sports,2012,9,11
Great,NHL 13,/games/nhl-13/ps3-128181,8.5,Sports,2012,9,11
Good,Total War Battles: Shogun,/games/total-war-battles-shogun/mac-142565,7,Strategy,2012,9,11
Awful,Double Dragon: Neon,/games/double-dragon-neon/xbox-360-131320,3,Fighting,2012,9,11
Amazing,Guild Wars 2,/games/guild-wars-2/pc-896298,9,RPG,2012,9,11
Awful,Double Dragon: Neon,/games/double-dragon-neon/ps3-131321,3,Fighting,2012,9,11
Good,Total War Battles: Shogun,/games/total-war-battles-shogun/pc-142564,7,Strategy,2012,9,11
Good,Tekken Tag Tournament 2,/games/tekken-tag-tournament-2/ps3-124584,7.5,Fighting,2012,9,11
Good,Tekken Tag Tournament 2,/games/tekken-tag-tournament-2/xbox-360-124581,7.5,Fighting,2012,9,11
Good,Wild Blood,/games/wild-blood/iphone-139363,7,,2012,9,10
Amazing,Mark of the Ninja,/games/mark-of-the-ninja-135615/xbox-360-129276,9,"Action, Adventure",2012,9,7
Amazing,Mark of the Ninja,/games/mark-of-the-ninja-135615/pc-143761,9,"Action, Adventure",2012,9,7
Okay,Home: A Unique Horror Adventure,/games/home-a-unique-horror-adventure/mac-20014750,6.5,Adventure,2012,9,6
Okay,Home: A Unique Horror Adventure,/games/home-a-unique-horror-adventure/pc-137135,6.5,Adventure,2012,9,6
Great,Avengers Initiative,/games/avengers-initiative/iphone-141579,8,Action,2012,9,5
Mediocre,Way of the Samurai 4,/games/way-of-the-samurai-4/ps3-23516,5.5,"Action, Adventure",2012,9,3
Good,JoJo's Bizarre Adventure HD,/games/jojos-bizarre-adventure/xbox-360-137717,7,Fighting,2012,9,3
